USA_SSHS,WMO_WIND_ADJUSTED_COMPLETED,NATURE,LON,age_hours,LAT,DIST2LAND,STORM_SPEED,BASIN
3,103.0,TS,137.8,243.0,25.8,869,7,WP
-1,20.0,TS,153.4,0.0,17.2,2245,18,WP
3,96.60000000000001,TS,46.3,156.0,-13.6,173,10,SI
-1,21.0,TS,126.8,3.0,29.1,401,6,WP
0,42.0,TS,119.3,114.0,18.0,114,4,WP
-5,15.0,DS,176.1,18.0,3.8,2177,11,WP
-5,,TS,82.2,210.0,-16.2,2439,11,SI
0,39.0,TS,-113.4,429.0,18.1,642,7,EP
-1,28.0,TS,121.1,189.0,29.3,0,5,WP
-5,,TS,59.0,6.0,-13.2,784,5,SI
-1,25.0,TS,114.0,6.0,12.0,493,6,WP
-1,20.0,DS,130.9,72.0,18.9,890,12,WP
0,39.0,TS,64.9,147.0,-15.4,926,2,SI
2,89.25,TS,168.1,132.0,22.1,3033,15,WP
-1,21.0,TS,-98.1,87.0,14.1,215,9,EP
2,89.0,TS,-108.4,123.0,15.4,571,5,EP
-1,25.0,TS,-129.5,165.0,20.3,1686,9,EP
0,49.0,TS,-96.7,57.0,13.9,190,8,EP
0,55.0,TS,103.4,147.0,-18.0,1181,7,SI
0,35.0,TS,-112.7,36.0,21.6,313,16,EP
5,135.0,TS,133.0,249.0,13.7,830,8,WP
-5,31.5,TS,-158.5,18.0,-20.1,1617,7,SP
0,68.25,TS,145.6,312.0,34.6,443,13,WP
0,57.75,TS,148.4,120.0,21.1,1749,7,WP
0,56.0,TS,130.0,171.0,15.8,631,8,WP
0,42.0,TS,179.5,24.0,-8.6,862,4,SP
0,40.0,TS,166.5,174.0,17.9,2858,27,WP
-5,94.5,TS,105.2,147.0,-18.2,1003,11,SI
0,60.0,TS,-112.5,114.0,15.5,868,6,EP
1,74.0,TS,112.1,195.0,17.1,253,14,WP
