SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1989088S15187,-1,TS,180.3,-19.2,15,SP,208, , ,1989-03-30 18:00:00,O________P_O_O_,1,30
1989088S15187,-1,TS,179.7,-19.5,12,SP,188, , ,1989-03-30 21:00:00,P________P_P_P_,1,33
1989088S15187,0,TS,179.3,-19.8,10,SP,200,30,wellington,1989-03-31 00:00:00,O________O_O_O_,2,35
1989088S15187,0,TS,178.8,-20.1,10,SP,210, , ,1989-03-31 03:00:00,P________P_P_P_,2,38
1989088S15187,0,TS,178.4,-20.4,9,SP,235,35,wellington,1989-03-31 06:00:00,O________O_P_O_,2,40
1989088S15187,0,TS,178.0,-20.7,9,SP,268, , ,1989-03-31 09:00:00,P________P_P_P_,2,43
1989088S15187,0,TS,177.7,-21.0,8,SP,291,40,wellington,1989-03-31 12:00:00,O________O_O_O_,2,45
1989088S15187,0,TS,177.5,-21.2,7,SP,327, , ,1989-03-31 15:00:00,P________P_P_P_,2,45
1989088S15187,0,TS,177.3,-21.5,6,SP,363,45,wellington,1989-03-31 18:00:00,O________O_P_O_,2,45
1989088S15187,0,TS,177.3,-21.8,5,SP,396, , ,1989-03-31 21:00:00,P________P_P_P_,2,45
1989088S15187,0,TS,177.4,-22.0,3,SP,417,50,wellington,1989-04-01 00:00:00,O________O_O_O_,2,45
1989088S15187,0,TS,177.5,-22.0,2,SP,415, , ,1989-04-01 03:00:00,P________P_P_P_,2,46
1989088S15187,0,TS,177.6,-22.0,2,SP,415,50,wellington,1989-04-01 06:00:00,O________O_P_O_,2,48
1989088S15187,0,TS,177.6,-21.9,1,SP,403, , ,1989-04-01 09:00:00,P________P_P_P_,2,49
1989088S15187,0,TS,177.6,-21.8,1,SP,392,50,wellington,1989-04-01 12:00:00,O________O_O_O_,2,50
1989088S15187,0,TS,177.6,-21.8,1,SP,392, , ,1989-04-01 15:00:00,P________P_P_P_,2,50
1989088S15187,0,TS,177.7,-21.7,2,SP,380,50,wellington,1989-04-01 18:00:00,O________O_P_O_,2,50
1989088S15187,0,TS,177.8,-21.6,3,SP,369, , ,1989-04-01 21:00:00,P________P_P_P_,2,50
1989088S15187,0,TS,178.0,-21.6,4,SP,369,50,wellington,1989-04-02 00:00:00,O________O_O_O_,2,50
1989088S15187,0,TS,178.2,-21.6,6,SP,369, , ,1989-04-02 03:00:00,P________P_P_P_,2,50
1989088S15187,0,TS,178.6,-21.7,12,SP,382,50,wellington,1989-04-02 06:00:00,O________O_P_O_,2,50
1989088S15187,0,TS,179.5,-21.9,18,SP,424, , ,1989-04-02 09:00:00,P________P_P_P_,2,50
1989088S15187,0,TS,180.5,-22.2,18,SP,485,45,wellington,1989-04-02 12:00:00,O________O_O_O_,2,50
1989088S15187,0,TS,181.4,-22.4,18,SP,557, , ,1989-04-02 15:00:00,P________P_P_P_,2,50
1989088S15187,0,TS,182.3,-22.7,20,SP,636,40,wellington,1989-04-02 18:00:00,O________O_P_O_,2,50
1989088S15187,0,TS,183.4,-23.2,22,SP,751, , ,1989-04-02 21:00:00,P________P_P_P_,2,50
1989088S15187,0,TS,184.5,-23.7,20,SP,868,40,wellington,1989-04-03 00:00:00,O________O_O_O_,2,50
1989088S15187,0,TS,185.3,-24.1,17,SP,958, , ,1989-04-03 03:00:00,P________P_P_P_,2,48
1989088S15187,0,TS,186.1,-24.5,17,SP,1048,35,wellington,1989-04-03 06:00:00,O________O_O_O_,2,45
1989088S15187,-5,TS,186.8,-25.0,18,SP,1138, , ,1989-04-03 09:00:00,_________P___P_,2, 
