SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1989134N07138,-1,TS,138.3,6.7,19,WP,881, , ,1989-05-14 00:00:00,O__________O___,1,20
1989134N07138,-1,TS,137.4,6.8,22,WP,863, , ,1989-05-14 03:00:00,P__________P___,1,20
1989134N07138,-1,TS,136.1,6.7,22,WP,831, , ,1989-05-14 06:00:00,O_O________P___,1,20
1989134N07138,-1,TS,135.2,6.8,17,WP,841, , ,1989-05-14 09:00:00,P_P________P___,1,20
1989134N07138,-1,TS,134.4,7.0,14,WP,808, , ,1989-05-14 12:00:00,O_O________O___,1,20
1989134N07138,-1,TS,133.8,7.2,11,WP,772, , ,1989-05-14 15:00:00,P_P________P___,1,21
1989134N07138,-1,TS,133.3,7.3,9,WP,739, , ,1989-05-14 18:00:00,O_O________P___,1,23
1989134N07138,-1,TS,132.9,7.6,8,WP,695, , ,1989-05-14 21:00:00,P_P________P___,1,24
1989134N07138,-1,TS,132.6,7.8,8,WP,661, ,tokyo,1989-05-15 00:00:00,OOO________O___,1,25
1989134N07138,-1,TS,132.3,8.1,8,WP,629, , ,1989-05-15 03:00:00,PPP________P___,1,25
1989134N07138,-1,TS,131.9,8.3,8,WP,587, ,tokyo,1989-05-15 06:00:00,OOO________P___,1,25
1989134N07138,-1,TS,131.6,8.6,9,WP,560, , ,1989-05-15 09:00:00,PPP________P___,1,25
1989134N07138,-1,TS,131.2,8.8,10,WP,521, ,tokyo,1989-05-15 12:00:00,OOO________O___,1,25
1989134N07138,-1,TS,130.8,9.1,10,WP,488, , ,1989-05-15 15:00:00,PPP________P___,1,26
1989134N07138,-1,TS,130.3,9.4,11,WP,444, ,tokyo,1989-05-15 18:00:00,OOOO_______P___,1,28
1989134N07138,-1,TS,129.8,9.6,12,WP,394, , ,1989-05-15 21:00:00,PPPP_______P___,1,29
1989134N07138,-1,TS,129.3,9.9,12,WP,349,35,tokyo,1989-05-16 00:00:00,OOOO_______O___,1,30
1989134N07138,-1,TS,128.7,10.1,13,WP,292, , ,1989-05-16 03:00:00,PPPP_______P___,1,33
1989134N07138,0,TS,128.1,10.5,15,WP,254,40,tokyo,1989-05-16 06:00:00,OOOO_______P___,1,35
1989134N07138,0,TS,127.4,10.8,16,WP,176, , ,1989-05-16 09:00:00,PPPP_______P___,1,38
1989134N07138,0,TS,126.7,11.2,15,WP,100,45,tokyo,1989-05-16 12:00:00,OOOO_______O___,2,40
1989134N07138,0,TS,126.1,11.5,14,WP,55, , ,1989-05-16 15:00:00,PPPP_______P___,2,43
1989134N07138,0,TS,125.4,11.8,15,WP,0,40,tokyo,1989-05-16 18:00:00,OOOO_______P___,2,45
1989134N07138,0,TS,124.6,12.1,17,WP,0, , ,1989-05-16 21:00:00,PPPP_______P___,2,48
1989134N07138,0,TS,123.8,12.4,16,WP,22,40,tokyo,1989-05-17 00:00:00,OOOO_______O___,2,50
1989134N07138,0,TS,123.1,12.8,15,WP,31, , ,1989-05-17 03:00:00,PPPP_______P___,2,49
1989134N07138,0,TS,122.5,13.2,15,WP,10,40,tokyo,1989-05-17 06:00:00,OOOO_______P___,2,48
1989134N07138,0,TS,121.9,13.6,14,WP,31, , ,1989-05-17 09:00:00,PPPP_______P___,2,46
1989134N07138,0,TS,121.3,13.9,14,WP,0,40,tokyo,1989-05-17 12:00:00,OOOO_______O___,2,45
1989134N07138,0,TS,120.7,14.3,13,WP,0, , ,1989-05-17 15:00:00,PPPP_______P___,2,43
1989134N07138,0,TS,120.1,14.7,12,WP,10,40,tokyo,1989-05-17 18:00:00,OOOO_______P___,2,40
1989134N07138,0,TS,119.7,15.0,11,WP,42, , ,1989-05-17 21:00:00,PPPP_______P___,2,38
1989134N07138,0,TS,119.3,15.3,10,WP,65,45,tokyo,1989-05-18 00:00:00,OOOO_______O___,2,35
1989134N07138,0,TS,118.9,15.6,9,WP,96, , ,1989-05-18 03:00:00,PPPP_______P___,2,38
1989134N07138,0,TS,118.5,15.9,9,WP,128,45,tokyo,1989-05-18 06:00:00,OOOO_______P___,2,40
1989134N07138,0,TS,118.2,16.2,8,WP,161, , ,1989-05-18 09:00:00,PPPP_______P___,2,43
1989134N07138,0,TS,118.0,16.5,8,WP,189,45,tokyo,1989-05-18 12:00:00,OOOO_______O___,2,45
1989134N07138,0,TS,117.7,16.8,7,WP,230, , ,1989-05-18 15:00:00,PPPP_______P___,2,48
1989134N07138,0,TS,117.5,17.0,7,WP,257,50,tokyo,1989-05-18 18:00:00,OOOO_______P___,2,50
1989134N07138,0,TS,117.3,17.3,7,WP,288, , ,1989-05-18 21:00:00,PPPP_______P___,2,53
1989134N07138,0,TS,117.1,17.6,8,WP,321,50,tokyo,1989-05-19 00:00:00,OOOO_______O___,2,55
1989134N07138,0,TS,116.8,17.9,8,WP,365, , ,1989-05-19 03:00:00,PPPP_______P___,2,58
1989134N07138,0,TS,116.5,18.2,9,WP,407,55,tokyo,1989-05-19 06:00:00,OOOO_______P___,2,60
1989134N07138,0,TS,116.2,18.6,10,WP,447, , ,1989-05-19 09:00:00,PPPP_______P___,2,63
1989134N07138,1,TS,115.9,19.0,10,WP,404,55,tokyo,1989-05-19 12:00:00,OOOO_______O___,3,65
1989134N07138,1,TS,115.5,19.4,10,WP,347, , ,1989-05-19 15:00:00,PPPP_______P___,3,68
1989134N07138,1,TS,115.2,19.7,10,WP,305,60,tokyo,1989-05-19 18:00:00,OOOO_______P___,3,70
1989134N07138,1,TS,114.9,20.1,10,WP,253, , ,1989-05-19 21:00:00,PPPP_______P___,3,73
1989134N07138,1,TS,114.5,20.5,10,WP,202,65,tokyo,1989-05-20 00:00:00,OOOO_______O___,4,75
1989134N07138,1,TS,114.2,20.8,9,WP,168, , ,1989-05-20 03:00:00,PPPP_______P___,4,74
1989134N07138,1,TS,113.8,21.1,8,WP,121,60,tokyo,1989-05-20 06:00:00,OOOO_______P___,4,73
1989134N07138,1,TS,113.5,21.4,8,WP,76, , ,1989-05-20 09:00:00,PPPP_______P___,4,71
1989134N07138,1,TS,113.1,21.6,9,WP,35,50,tokyo,1989-05-20 12:00:00,OOOO_______O___,4,70
1989134N07138,0,TS,112.7,21.8,9,WP,10, , ,1989-05-20 15:00:00,PPPP_______P___,4,60
1989134N07138,0,TS,112.2,22.0,9,WP,0,45,tokyo,1989-05-20 18:00:00,OOOO_______P___,4,50
1989134N07138,0,TS,111.8,22.2,9,WP,0, , ,1989-05-20 21:00:00,PPPP_______P___,4,40
1989134N07138,-1,TS,111.3,22.4,8,WP,0,40,tokyo,1989-05-21 00:00:00,OOOO_______O___,1,30
1989134N07138,-5,TS,111.0,22.5,6,WP,0, , ,1989-05-21 03:00:00,_PP____________,1, 
1989134N07138,-5,TS,110.8,22.7,6,WP,0, ,tokyo,1989-05-21 06:00:00,_OO____________,1, 
1989134N07138,-5,TS,110.4,22.8,7,WP,0, , ,1989-05-21 09:00:00,_PP____________,1, 
