SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1980236N15144,-1,MX,116.8,27.3,11,WP,0, ,tokyo,1980-08-29 00:00:00,OOO_______OO___,5,15
1988347S12128,-5,MX,119.7,-26.2,12,SI,0, , ,1988-12-18 15:00:00,_______P___P_P_,5, 
1981237N16148,-5,TS,127.8,34.1,12,WP,55, , ,1981-09-03 09:00:00,_PPP___________,5, 
1985268N03161,-5,ET,133.0,39.2,14,WP,331, ,tokyo,1985-10-06 06:00:00,_OO________P___,5, 
1980282N19162,-1,MX,143.4,33.4,35,WP,340, ,tokyo,1980-10-14 00:00:00,OOOO______OO___,5,25
1980349N10138,-5,MX,126.8,11.4,4,WP,117, , ,1980-12-21 15:00:00,__P________P___,6, 
1980137N04158,-1,MX,120.6,19.9,2,WP,146, ,tokyo,1980-05-26 06:00:00,OOO_______OO___,6,20
1980076N06148,-5,MX,116.4,12.5,7,WP,357, , ,1980-03-26 15:00:00,__PP_______P___,6, 
1980349N10138,-5,DS,126.1,10.0,3,WP,57, , ,1980-12-22 12:00:00,__O________O___,6, 
1981256N10150,-5,TS,113.9,25.7,5,WP,0, , ,1981-09-22 21:00:00,_P_____________,6, 
