SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1983285N09260,1,TS,-103.1,15.3,5,EP,303,75,hurdat_epa,1983-10-14 12:00:00,O__________O___,3,75
1984270N13262,1,TS,-109.3,15.6,8,EP,623,65,hurdat_epa,1984-09-30 00:00:00,O__________O___,3,65
1986176N11262,1,TS,-107.8,14.5,14,EP,615,70,hurdat_epa,1986-06-27 18:00:00,O__________O___,3,70
1988290N08145,1,TS,124.5,16.3,15,WP,223,50,tokyo,1988-10-20 06:00:00,OOOO_______P___,3,70
1987035S12160,1,TS,165.4,-15.0,7,SP,120, , ,1987-02-06 03:00:00,P________P_P_P_,3,66
1980257N17133,4,TS,122.7,20.9,10,WP,217, , ,1980-09-17 15:00:00,PPPP______PP___,4,123
1982272N11156,2,MX,144.6,34.5,19,WP,361, ,tokyo,1982-10-09 00:00:00,OOOO_______O___,4,85
1982077N04161,1,TS,133.5,9.1,11,WP,775,55,tokyo,1982-03-23 00:00:00,OOOO_______O___,4,65
1981061S22047,1,TS,63.6,-25.9,17,SI,852, , ,1981-03-07 09:00:00,P_____P____P_P_,4,73
1983201N08144,0,TS,117.6,24.0,16,WP,0, , ,1983-07-25 09:00:00,PPPP_______P___,4,58
