SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1986311N12072,-5,DS,73.4,12.4,6,NI,158, , ,1986-11-07 15:00:00,___________P___,0, 
1986190N11162,-5,DS,159.8,11.4,12,WP,1856, , ,1986-07-09 15:00:00,___________P___,0, 
1986302N05178,-5,DS,168.2,4.4,18,WP,1652, , ,1986-10-30 15:00:00,___________P___,0, 
1986252N06153,-5,DS,149.3,9.0,6,WP,1261, , ,1986-09-11 03:00:00,___________P___,0,18
1980126N08150,-5,DS,145.0,8.1,5,WP,1156, , ,1980-05-06 21:00:00,___________P___,0, 
1989035S11106,-1,TS,109.6,-13.1,6,SI,550,40,bom,1989-02-06 00:00:00,O______O___O_O_,1,30
1980042S17149,0,TS,155.2,-18.6,13,SP,632,40,bom,1980-02-12 12:00:00,O______O_OOO_O_,1, 
1981363S10079,-1,TS,77.1,-14.6,2,SI,2142, ,reunion,1982-01-03 12:00:00,O_____O____O_O_,1,30
1984150N12266,-1,TS,-105.7,14.3,3,EP,505, , ,1984-06-09 15:00:00,P__________P___,1,20
1984150N12266,-1,TS,-100.1,11.8,5,EP,529,25,hurdat_epa,1984-06-04 12:00:00,O__________O___,1,25
