SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1984035S09101,0,TS,89.2,-14.5,6,SI,1786, , ,1984-02-10 15:00:00,P______P___P_P_,4,86
1988304S08077,1,TS,78.3,-12.3,10,SI,2054,36,reunion,1988-11-02 18:00:00,O_____O____P_O_,3,70
1980266N16257,-1,TS,-104.1,16.5,10,EP,211,30,hurdat_epa,1980-09-22 00:00:00,O_________OO___,1,30
1987196N09146,-5,MX,123.3,30.8,24,WP,133, ,tokyo,1987-07-22 06:00:00,_O_O___________,1, 
1986135S07160,0,NR,163.5,-18.8,5,SP,168, , ,1986-05-22 03:00:00,P______________,2, 
1983208N11265,1,TS,-128.6,16.8,13,EP,1852,70,hurdat_epa,1983-08-03 00:00:00,O__________O___,4,70
1983309N10091,-1,TS,88.4,15.5,7,NI,546, , ,1983-11-07 00:00:00,O____P_____O___,1,30
1988125S10071,-1,TS,66.5,-12.5,5,SI,1266, , ,1988-05-13 21:00:00,P__________P_P_,1,25
1987155N16061,0,TS,64.9,16.1,7,NI,790, , ,1987-06-06 12:00:00,O__________O___,2,50
1989103N07154,-1,TS,152.3,7.3,2,WP,1131, , ,1989-04-14 15:00:00,P_P________P___,1,25
