SID,USA_SSHS,NATURE,LON,LAT,STORM_SPEED,BASIN,DIST2LAND,WMO_WIND,WMO_AGENCY,ISO_TIME,IFLAG,TD9636_STAGE,TD9636_WIND
1986311N12072,-5,DS,73.4,12.4,6,NI,158, , ,1986-11-07 15:00:00,___________P___,0, 
1986190N11162,-5,DS,159.8,11.4,12,WP,1856, , ,1986-07-09 15:00:00,___________P___,0, 
1986302N05178,-5,DS,168.2,4.4,18,WP,1652, , ,1986-10-30 15:00:00,___________P___,0, 
1989035S11106,-1,TS,109.6,-13.1,6,SI,550,40,bom,1989-02-06 00:00:00,O______O___O_O_,1,30
1980042S17149,0,TS,155.2,-18.6,13,SP,632,40,bom,1980-02-12 12:00:00,O______O_OOO_O_,1, 
1981363S10079,-1,TS,77.1,-14.6,2,SI,2142, ,reunion,1982-01-03 12:00:00,O_____O____O_O_,1,30
1981039S14153,0,TS,145.7,-13.9,13,SP,124,45,bom,1981-02-09 18:00:00,O______O_O_O_O_,2,35
1980296N05165,0,TS,149.9,11.2,18,WP,1515, , ,1980-10-30 03:00:00,PPPP______PP___,2,53
1980257N17133,4,TS,122.7,20.9,10,WP,217, , ,1980-09-17 15:00:00,PPPP______PP___,4,123
1982272N11156,2,MX,144.6,34.5,19,WP,361, ,tokyo,1982-10-09 00:00:00,OOOO_______O___,4,85
